Category,BugID,MutationRate,PopulationSize,Iteration,Time,Generation,Solution,Status
Math,2,1,1,1,928.663,3,Found,STOP_BY_PATCH_FOUND
Math,5,1,1,1,1117.53,200,NOT_Found,MAX_GENERATION
Math,8,1,1,1,2237.113,14,Found,STOP_BY_PATCH_FOUND
Math,28,1,1,1,2059.74,200,NOT_Found,MAX_GENERATION
Math,40,1,1,1,1770.557,126,Found,STOP_BY_PATCH_FOUND
Math,49,1,1,1,1145.583,36,Found,STOP_BY_PATCH_FOUND
Math,50,1,1,1,515.058,5,Found,STOP_BY_PATCH_FOUND
Math,53,1,1,1,418.311,133,Found,STOP_BY_PATCH_FOUND
Math,70,1,1,1,196.625,107,Found,STOP_BY_PATCH_FOUND
Math,2,1,20,1,1153.572,1,Found,STOP_BY_PATCH_FOUND
Math,5,1,20,1,1582.024,11,Found,STOP_BY_PATCH_FOUND
Math,8,1,20,1,2480.037,1,Found,STOP_BY_PATCH_FOUND
Math,28,1,20,1,3891.287,31,NOT_Found,TIME_OUT
Math,40,1,20,1,2361.115,7,Found,STOP_BY_PATCH_FOUND
Math,49,1,20,1,1817.048,2,Found,STOP_BY_PATCH_FOUND
Math,50,1,20,1,720.522,1,Found,STOP_BY_PATCH_FOUND
Math,53,1,20,1,571.277,7,Found,STOP_BY_PATCH_FOUND
Math,70,1,20,1,287.143,6,Found,STOP_BY_PATCH_FOUND
Math,2,1,80,1,1620.219,1,Found,STOP_BY_PATCH_FOUND
Math,5,1,80,1,2152.59,3,Found,STOP_BY_PATCH_FOUND
Math,8,1,80,1,3309.032,1,Found,STOP_BY_PATCH_FOUND
Math,28,1,80,1,4682.425,6,NOT_Found,TIME_OUT
Math,40,1,80,1,3604.247,2,Found,STOP_BY_PATCH_FOUND
Math,49,1,80,1,3915.495,1,Found,STOP_BY_PATCH_FOUND
Math,50,1,80,1,1038.099,1,Found,STOP_BY_PATCH_FOUND
Math,53,1,80,1,827.074,2,Found,STOP_BY_PATCH_FOUND
Math,70,1,80,1,410.42,2,Found,STOP_BY_PATCH_FOUND
Math,2,1,240,1,2285.822,1,Found,STOP_BY_PATCH_FOUND
Math,5,1,240,1,3071.035,1,Found,STOP_BY_PATCH_FOUND
Math,8,1,240,1,4841.03,1,Found,STOP_BY_PATCH_FOUND
Math,28,1,240,1,7279.799,2,NOT_Found,TIME_OUT
Math,40,1,240,1,4942.216,1,Found,STOP_BY_PATCH_FOUND
Math,49,1,240,1,9817.04,1,Found,STOP_BY_PATCH_FOUND
Math,50,1,240,1,1400.846,1,Found,STOP_BY_PATCH_FOUND
Math,53,1,240,1,1085.317,1,Found,STOP_BY_PATCH_FOUND
Math,70,1,240,1,582.316,1,Found,STOP_BY_PATCH_FOUND
Math,2,1,720,1,3101.97,1,Found,STOP_BY_PATCH_FOUND
Math,5,1,720,1,,,,
Math,8,1,720,1,,,,
Math,28,1,720,1,13608.191,1,NOT_Found,TIME_OUT
Math,40,1,720,1,6362.107,1,Found,STOP_BY_PATCH_FOUND
Math,49,1,720,1,28510.248,1,Found,STOP_BY_PATCH_FOUND
Math,50,1,720,1,1802.643,1,Found,STOP_BY_PATCH_FOUND
Math,53,1,720,1,1329.172,1,Found,STOP_BY_PATCH_FOUND
Math,70,1,720,1,739.04,1,Found,STOP_BY_PATCH_FOUND
Math,2,0.75,1,1,,,,
Math,5,0.75,1,1,,,,
Math,8,0.75,1,1,,,,
Math,28,0.75,1,1,7358.73,200,NOT_Found,MAX_GENERATION
Math,40,0.75,1,1,7142.985,126,Found,STOP_BY_PATCH_FOUND
Math,49,0.75,1,1,4124.553,36,Found,STOP_BY_PATCH_FOUND
Math,50,0.75,1,1,1897.607,5,Found,STOP_BY_PATCH_FOUND
Math,53,0.75,1,1,1518.566,133,Found,STOP_BY_PATCH_FOUND
Math,70,0.75,1,1,767.484,107,Found,STOP_BY_PATCH_FOUND
Math,2,0.75,20,1,,,,
Math,5,0.75,20,1,,,,
Math,8,0.75,20,1,,,,
Math,28,0.75,20,1,,,,
Math,40,0.75,20,1,7885.592,7,Found,STOP_BY_PATCH_FOUND
Math,49,0.75,20,1,5408.821,2,Found,STOP_BY_PATCH_FOUND
Math,50,0.75,20,1,2106.309,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.75,20,1,1665.262,7,Found,STOP_BY_PATCH_FOUND
Math,70,0.75,20,1,849.388,6,Found,STOP_BY_PATCH_FOUND
Math,2,0.75,80,1,,,,
Math,5,0.75,80,1,,,,
Math,8,0.75,80,1,,,,
Math,28,0.75,80,1,,,,
Math,40,0.75,80,1,8574.726,2,Found,STOP_BY_PATCH_FOUND
Math,49,0.75,80,1,8559.51,1,Found,STOP_BY_PATCH_FOUND
Math,50,0.75,80,1,2227.002,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.75,80,1,1765.914,2,Found,STOP_BY_PATCH_FOUND
Math,70,0.75,80,1,898.237,2,Found,STOP_BY_PATCH_FOUND
Math,2,0.75,240,1,,,,
Math,5,0.75,240,1,,,,
Math,8,0.75,240,1,,,,
Math,28,0.75,240,1,,,,
Math,40,0.75,240,1,9233.491,1,Found,STOP_BY_PATCH_FOUND
Math,49,0.75,240,1,17779.154,1,Found,STOP_BY_PATCH_FOUND
Math,50,0.75,240,1,2490.585,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.75,240,1,1895.475,1,Found,STOP_BY_PATCH_FOUND
Math,70,0.75,240,1,975.008,1,Found,STOP_BY_PATCH_FOUND
Math,2,0.75,720,1,,,,
Math,5,0.75,720,1,,,,
Math,8,0.75,720,1,,,,
Math,28,0.75,720,1,,,,
Math,40,0.75,720,1,10423.323,1,Found,STOP_BY_PATCH_FOUND
Math,49,0.75,720,1,46168.866,1,Found,STOP_BY_PATCH_FOUND
Math,50,0.75,720,1,2844.929,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.75,720,1,2094.255,1,Found,STOP_BY_PATCH_FOUND
Math,70,0.75,720,1,3183.392,4,NOT_Found,TIME_OUT
Math,2,0.5,1,1,,,,
Math,5,0.5,1,1,,,,
Math,8,0.5,1,1,,,,
Math,28,0.5,1,1,,,,
Math,40,0.5,1,1,10549.876,126,Found,STOP_BY_PATCH_FOUND
Math,49,0.5,1,1,5832.424,36,Found,STOP_BY_PATCH_FOUND
Math,50,0.5,1,1,2703.627,5,Found,STOP_BY_PATCH_FOUND
Math,53,0.5,1,1,2174.993,133,Found,STOP_BY_PATCH_FOUND
Math,70,0.5,1,1,1105.013,107,Found,STOP_BY_PATCH_FOUND
Math,2,0.5,20,1,,,,
Math,5,0.5,20,1,,,,
Math,8,0.5,20,1,,,,
Math,28,0.5,20,1,,,,
Math,40,0.5,20,1,10863.996,7,Found,STOP_BY_PATCH_FOUND
Math,49,0.5,20,1,7617.34,2,Found,STOP_BY_PATCH_FOUND
Math,50,0.5,20,1,2837.722,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.5,20,1,2276.9,7,Found,STOP_BY_PATCH_FOUND
Math,70,0.5,20,1,3092.046,14,NOT_Found,TIME_OUT
Math,2,0.5,80,1,,,,
Math,5,0.5,80,1,,,,
Math,8,0.5,80,1,,,,
Math,28,0.5,80,1,,,,
Math,40,0.5,80,1,12453.164,2,Found,STOP_BY_PATCH_FOUND
Math,49,0.5,80,1,13013.727,1,Found,STOP_BY_PATCH_FOUND
Math,50,0.5,80,1,3236.357,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.5,80,1,2538.638,2,Found,STOP_BY_PATCH_FOUND
Math,70,0.5,80,1,1286.71,2,Found,STOP_BY_PATCH_FOUND
Math,2,0.5,240,1,,,,
Math,5,0.5,240,1,,,,
Math,8,0.5,240,1,,,,
Math,28,0.5,240,1,,,,
Math,40,0.5,240,1,10546.725,1,NOT_Found,TIME_OUT
Math,49,0.5,240,1,25085.236,1,Found,STOP_BY_PATCH_FOUND
Math,50,0.5,240,1,3546.37,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.5,240,1,2679.105,1,Found,STOP_BY_PATCH_FOUND
Math,70,0.5,240,1,1463.095,1,Found,STOP_BY_PATCH_FOUND
Math,2,0.5,720,1,,,,
Math,5,0.5,720,1,,,,
Math,8,0.5,720,1,,,,
Math,28,0.5,720,1,,,,
Math,40,0.5,720,1,,,,
Math,49,0.5,720,1,61761.275,1,Found,STOP_BY_PATCH_FOUND
Math,50,0.5,720,1,3758.47,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.5,720,1,2876.631,1,Found,STOP_BY_PATCH_FOUND
Math,70,0.5,720,1,1528.475,1,Found,STOP_BY_PATCH_FOUND
Math,2,0.25,1,1,,,,
Math,5,0.25,1,1,,,,
Math,8,0.25,1,1,,,,
Math,28,0.25,1,1,,,,
Math,40,0.25,1,1,,,,
Math,49,0.25,1,1,7601.779,36,Found,STOP_BY_PATCH_FOUND
Math,50,0.25,1,1,3406.954,5,Found,STOP_BY_PATCH_FOUND
Math,53,0.25,1,1,2887.408,133,Found,STOP_BY_PATCH_FOUND
Math,70,0.25,1,1,1416.936,107,Found,STOP_BY_PATCH_FOUND
Math,2,0.25,20,1,,,,
Math,5,0.25,20,1,,,,
Math,8,0.25,20,1,,,,
Math,28,0.25,20,1,,,,
Math,40,0.25,20,1,,,,
Math,49,0.25,20,1,9641.593,2,Found,STOP_BY_PATCH_FOUND
Math,50,0.25,20,1,3588.819,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.25,20,1,6532.664,14,NOT_Found,TIME_OUT
Math,70,0.25,20,1,3609.503,6,NOT_Found,TIME_OUT
Math,2,0.25,80,1,,,,
Math,5,0.25,80,1,,,,
Math,8,0.25,80,1,,,,
Math,28,0.25,80,1,,,,
Math,40,0.25,80,1,,,,
Math,49,0.25,80,1,,,,
Math,50,0.25,80,1,,,,
Math,53,0.25,80,1,2649.693,2,Found,STOP_BY_PATCH_FOUND
Math,70,0.25,80,1,1640.773,2,Found,STOP_BY_PATCH_FOUND
Math,2,0.25,240,1,,,,
Math,5,0.25,240,1,,,,
Math,8,0.25,240,1,,,,
Math,28,0.25,240,1,,,,
Math,40,0.25,240,1,,,,
Math,49,0.25,240,1,,,,
Math,50,0.25,240,1,,,,
Math,53,0.25,240,1,3121.959,1,Found,STOP_BY_PATCH_FOUND
Math,70,0.25,240,1,1551.781,1,Found,STOP_BY_PATCH_FOUND
Math,2,0.25,720,1,,,,
Math,5,0.25,720,1,,,,
Math,8,0.25,720,1,,,,
Math,28,0.25,720,1,,,,
Math,40,0.25,720,1,,,,
Math,49,0.25,720,1,,,,
Math,50,0.25,720,1,4135.434,1,Found,STOP_BY_PATCH_FOUND
Math,53,0.25,720,1,3112.638,1,Found,STOP_BY_PATCH_FOUND
Math,70,0.25,720,1,1632.829,1,Found,STOP_BY_PATCH_FOUND
Math,71,1,1,1,1437.537,95,Found,STOP_BY_PATCH_FOUND
Math,73,1,1,1,420.111,68,Found,STOP_BY_PATCH_FOUND
Math,78,1,1,1,643.239,200,NOT_Found,MAX_GENERATION
Math,80,1,1,1,1371.981,66,Found,STOP_BY_PATCH_FOUND
Math,81,1,1,1,1306.373,10,Found,STOP_BY_PATCH_FOUND
Math,82,1,1,1,1627.032,200,NOT_Found,MAX_GENERATION
Math,84,1,1,1,1764.249,200,NOT_Found,MAX_GENERATION
Math,85,1,1,1,581.108,13,Found,STOP_BY_PATCH_FOUND
Math,95,1,1,1,597.05,107,Found,STOP_BY_PATCH_FOUND
Math,71,1,20,1,3058.064,8,NOT_Found,TIME_OUT
Math,73,1,20,1,789.104,4,Found,STOP_BY_PATCH_FOUND
Math,78,1,20,1,5818.224,19,NOT_Found,TIME_OUT
Math,80,1,20,1,3505.49,4,Found,STOP_BY_PATCH_FOUND
Math,81,1,20,1,3415.206,1,Found,STOP_BY_PATCH_FOUND
Math,82,1,20,1,4042.634,22,NOT_Found,TIME_OUT
Math,84,1,20,1,2580.165,10,NOT_Found,TIME_OUT
Math,85,1,20,1,937.498,1,Found,STOP_BY_PATCH_FOUND
Math,95,1,20,1,1036.965,6,Found,STOP_BY_PATCH_FOUND
Math,71,1,80,1,4176.053,1,NOT_Found,TIME_OUT
Math,73,1,80,1,1154.705,1,Found,STOP_BY_PATCH_FOUND
Math,78,1,80,1,9539.362,5,NOT_Found,TIME_OUT
Math,80,1,80,1,10852.835,1,Found,STOP_BY_PATCH_FOUND
Math,81,1,80,1,9592.647,1,Found,STOP_BY_PATCH_FOUND
Math,82,1,80,1,,,,
Math,84,1,80,1,,,,
Math,85,1,80,1,,,,
Math,95,1,80,1,,,,
Math,71,1,240,1,,,,
Math,73,1,240,1,,,,
Math,78,1,240,1,,,,
Math,80,1,240,1,,,,
Math,81,1,240,1,,,,
Math,82,1,240,1,,,,
Math,84,1,240,1,,,,
Math,85,1,240,1,,,,
Math,95,1,240,1,,,,
Math,71,1,720,1,,,,
Math,73,1,720,1,1708.855,1,Found,STOP_BY_PATCH_FOUND
Math,78,1,720,1,,,,
Math,80,1,720,1,,,,
Math,81,1,720,1,,,,
Math,82,1,720,1,,,,
Math,84,1,720,1,,,,
Math,85,1,720,1,,,,
Math,95,1,720,1,3029.998,1,Found,STOP_BY_PATCH_FOUND
Math,71,0.75,1,1,,,,
Math,73,0.75,1,1,,,,
Math,78,0.75,1,1,,,,
Math,80,0.75,1,1,,,,
Math,81,0.75,1,1,,,,
Math,82,0.75,1,1,,,,
Math,84,0.75,1,1,,,,
Math,85,0.75,1,1,,,,
Math,95,0.75,1,1,1334.47,107,Found,STOP_BY_PATCH_FOUND
Math,71,0.75,20,1,,,,
Math,73,0.75,20,1,,,,
Math,78,0.75,20,1,,,,
Math,80,0.75,20,1,,,,
Math,81,0.75,20,1,6035.813,1,Found,STOP_BY_PATCH_FOUND
Math,82,0.75,20,1,5817.091,15,NOT_Found,TIME_OUT
Math,84,0.75,20,1,,,,
Math,85,0.75,20,1,,,,
Math,95,0.75,20,1,,,,
Math,71,0.75,80,1,,,,
Math,73,0.75,80,1,1724.704,1,Found,STOP_BY_PATCH_FOUND
Math,78,0.75,80,1,,,,
Math,80,0.75,80,1,,,,
Math,81,0.75,80,1,,,,
Math,82,0.75,80,1,,,,
Math,84,0.75,80,1,,,,
Math,85,0.75,80,1,,,,
Math,95,0.75,80,1,,,,
Math,71,0.75,240,1,,,,
Math,73,0.75,240,1,,,,
Math,78,0.75,240,1,,,,
Math,80,0.75,240,1,,,,
Math,81,0.75,240,1,,,,
Math,82,0.75,240,1,,,,
Math,84,0.75,240,1,,,,
Math,85,0.75,240,1,,,,
Math,95,0.75,240,1,,,,
Math,71,0.75,720,1,,,,
Math,73,0.75,720,1,,,,
Math,78,0.75,720,1,,,,
Math,80,0.75,720,1,,,,
Math,81,0.75,720,1,,,,
Math,82,0.75,720,1,,,,
Math,84,0.75,720,1,,,,
Math,85,0.75,720,1,,,,
Math,95,0.75,720,1,,,,
Math,71,0.5,1,1,,,,
Math,73,0.5,1,1,1699.242,68,Found,STOP_BY_PATCH_FOUND
Math,78,0.5,1,1,,,,
Math,80,0.5,1,1,,,,
Math,81,0.5,1,1,,,,
Math,82,0.5,1,1,,,,
Math,84,0.5,1,1,,,,
Math,85,0.5,1,1,,,,
Math,95,0.5,1,1,1543.656,107,Found,STOP_BY_PATCH_FOUND
Math,71,0.5,20,1,,,,
Math,73,0.5,20,1,,,,
Math,78,0.5,20,1,,,,
Math,80,0.5,20,1,8765.661,5,NOT_Found,TIME_OUT
Math,81,0.5,20,1,7399.946,1,Found,STOP_BY_PATCH_FOUND
Math,82,0.5,20,1,6749.845,13,NOT_Found,TIME_OUT
Math,84,0.5,20,1,,,,
Math,85,0.5,20,1,,,,
